forkod,nadkod,name,c_name,code,from,tom,lan
12502,12502000,Adelsö ,Stockholms,1,0,1785,-1786 Stockholms län
12502,12502000,Adelsö ,Svartsjö,26,1786,1809,1786-1810 Svartsjö län
12502,12502000,Adelsö ,Stockholms,1,1810,9999,1810- Stockholms län.
231302,231302000,Alanäs ,Västernorrlands,22,1808,1809,-1810 Västernorrlands län
231302,231302000,Alanäs ,Jämtlands,23,1810,9999,1810-05-07- Jämtlands län.
212103,212103001,Alfta ,,22,0,1638,-1762 Västernorrlands län
212103,212103000,Alfta ,,22,1639,1761,1762-06-29- Gävleborgs län.
212103,212103000,Alfta ,,21,1762,9999,
178409,178409000,Älgå ,Närkes,27,0,1778,-1779 Närkes och Värmlands län
178409,178409000,Älgå ,Värmlands,17,1779,9999,1779- Värmlands län.
86203,86203000,Algutsboda ,,7,0,1968,1937-01-01 överfört Grimmansmåla 1:6 till Vissefjärda i Kalmar län
86203,86203000,Algutsboda ,,8,1969,9999,1947-01-01 överfört delar av Krysseboda och Rasslebygd samt 1954-01-01 delar av dessa jämte del av Grimmansmåla till Emmaboda i Kalmar län
188004,188004000,Almby ,Närkes,27,0,1778,-1779 Närkes och Värmlands län
188004,188004000,Almby ,Örebro,18,1779,9999,1779- Örebro län.
38031,38031000,Almunge ,Stockholms,1,0,1970,-1970 Stockholms län
38031,38031000,Almunge ,Uppsala,3,1971,9999,1971- Uppsala län.
230910,230910000,Alsen ,Västernorrlands,22,0,1809,-1810 Västernorrlands län
230910,230910000,Alsen ,Jämtlands,23,1810,9999,1810-05-07- Jämtlands län.
38033,38033000,Alsike ,Stockholms,1,0,1970,-1970 Stockholms län
38033,38033000,Alsike ,Uppsala,3,1971,9999,1971- Uppsala län.
178007,178007000,Alster ,Närkes,27,0,1778,-1779 Närkes och Värmlands län
178007,178007000,Alster ,Värmlands,17,1779,9999,1779- Värmlands län.
38136,38136000,Altuna ,Västmanlands,19,0,1970,-1970 Västmanlands län
38136,38136000,Altuna ,Uppsala,3,1971,9999,1971- Uppsala län.
236103,236103000,Älvros ,Västernorrlands,22,0,1761,-1762 Västernorrlands län
236103,236103000,Älvros ,Gävleborgs,21,1762,1809,1762-06-29-1810 Gävleborgs län
236103,236103000,Älvros ,Jämtlands,23,1810,9999,1810-05-07- Jämtlands län.
258403,258403001,Karesuando,,24,1602,1605,
258403,258403000,Karesuando,,24,1606,1809,
258403,258403000,Karesuando,,25,1810,9999,
230503,230503000,Hällesjö,,22,0,1809,
230503,230503000,Hällesjö,,23,1810,9999,
256002,256002000,Älvsby ,Västerbottens,24,1809,1809,-1810 Västerbottens län
256002,256002000,Älvsby ,Norrbottens,25,1810,9999,1810-05-21- Norrbottens län.
138224,138224000,Älvsered ,Älvsborgs,15,0,1970,-1970 Älvsborgs län
138224,138224000,Älvsered ,Hallands,13,1971,9999,1971- Hallands län.
148026,148026001,Angered ,Älvsborgs,15,0,1966,1930-01-01 överfört område från Angered i Älvsborgs län till Göteborgs Gamlestad (se ) i Göteborgs och Bohus län
148026,148026001,Angered ,Älvsborgs,14,1967,1970,-1966 Älvsborgs län
188000,188003005,Ånsta ,Närkes,27,0,1778,-1779 Närkes och Värmlands län
188000,188003005,Ånsta ,Örebro,18,1779,1953,1779- Örebro län.
218309,218309000,Arbrå ,Västernorrlands,22,0,1761,-1762 Västernorrlands län
218309,218309000,Arbrå ,Gävleborgs,21,1762,9999,1762-06-29- Gävleborgs län.
232101,232101000,Åre ,Västernorrlands,22,0,1809,-1810 Västernorrlands län
232101,232101000,Åre ,Jämtlands,23,1810,9999,1810-05-07- Jämtlands län.
250671,250671000,Arjeplog ,Västerbottens,24,1640,1836,-1837 Västerbottens län
250671,250671000,Arjeplog ,Norrbottens,25,1837,9999,1837-02-10- Norrbottens län.
218104,218104000,Årsunda ,Västernorrlands,22,0,1761,-1762 Västernorrlands län
218104,218104000,Årsunda ,Gävleborgs,21,1762,9999,1762-06-29- Gävleborgs län.
250571,250571001,Arvidsjaur ,Västerbottens,24,1606,1639,-1837 Västerbottens län
250571,250571002,Arvidsjaur ,Västerbottens,24,1640,1836,1837-02-10- Norrbottens län.
250571,250571002,Arvidsjaur ,Norrbottens,25,1837,1861,
178402,178402001,Arvika västra ,Närkes,27,0,1778,-1779 Närkes och Värmlands län
178402,178402001,Arvika västra ,Värmlands,17,1779,1905,1779- Värmlands län.
230904,230904000,Ås ,Västernorrlands,22,0,1809,-1810 Västernorrlands län
230904,230904000,Ås ,Jämtlands,23,1810,9999,1810-05-07- Jämtlands län.
232606,232606000,Åsarne ,Västernorrlands,22,1764,1809,-1810 Västernorrlands län
232606,232606000,Åsarne ,Jämtlands,23,1810,9999,1810-05-07 Jämtlands län.
188015,188015000,Asker ,Närkes,27,0,1778,-1779 Närkes och Värmlands län
188015,188015000,Asker ,Örebro,18,1779,9999,1779Örebro län
188201,188201001,Askersund ,,27,0,1642,
188200,188201003,Askersunds landsförsamling ,,27,1643,1778,
188200,188201003,Askersunds landsförsamling ,,18,1779,1964,
188200,188201002,Askersunds stads,,27,1643,1778,
188200,188201002,Askersunds stads,,18,1779,1964,
230903,230903000,Aspås ,Västernorrlands,22,0,1809,- 18 10 Västernorrlands län
230903,230903000,Aspås ,Jämtlands,23,1810,9999,1810-05-07 - Jämtlands län.
188012,188012000,Axberg ,Närkes,27,0,1778,-1779 Närkes och Värmlands län
188012,188012000,Axberg ,Örebro,18,1779,9999,1779- Örebro län.
232601,232601001,Berg ,,22,0,1763,
232601,232601000,Berg ,,22,1764,1809,
232601,232601000,Berg ,,23,1810,9999,
148027,148027000,Bergum ,Älvsborgs,15,0,1966,-1966 Älvsborgs län
148027,148027000,Bergum ,Bohus,14,1967,9999,1967- Göteborgs och Bohus län.
140104,140104000,Björketorp ,Bohus,15,0,1970,1952-01-01 överfört drygt 8 kvadratkilometer från Härryda i Göteborgs och Bohus län till Björketorp i Älvsborgs län
140104,140104000,Björketorp ,Älvsborgs,14,1971,9999,-1970 Älvsborgs län
218409,218409000,Bjuråker ,Västernorrlands,22,0,1761,-1762 Västernorrlands län
218409,218409000,Bjuråker ,Gävleborgs,21,1762,9999,1762-06-29- Gävleborgs län.
240301,240301000,Bjurholm ,Västernorrlands,22,1808,1809,-1810 Västernorrlands län
240301,240301000,Bjurholm ,Västerbottens,24,1810,9999,1810-05-21 - Västerbottens län.
176002,176002000,Bjurtjärn ,Närkes,27,1630,1778,-1779 Närkes och Värmlands län
176002,176002000,Bjurtjärn ,Örebro,18,1779,1951,1779-1951 Örebro län
176002,176002000,Bjurtjärn ,Värmlands,17,1952,9999,1952- Värmlands län.
38029,38029000,Bladåker ,Stockholms,1,0,1970,-1970 Stockholms län
38029,38029000,Bladåker ,Uppsala,3,1971,9999,1971- Uppsala län.
176505,176505000,Blomskog ,Närkes,27,0,1778,-1779 Närkes och Värmlands län
176505,176505000,Blomskog ,Värmlands,17,1779,9999,1779- Värmlands län.
186106,186106000,Bo ,Närkes,27,1735,1778,-1779 Närkes och Värmlands län
186106,186106000,Bo ,Örebro,18,1779,9999,1779- Örebro län samt -1867 del (Kängstorp) i Östergötlands län
171503,171503000,Boda ,Närkes,27,1616,1778,-1779 Närkes och Värmlands län
171503,171503000,Boda ,Värmlands,17,1779,9999,1779- Värmlands län.
230507,230507000,Bodsjö ,Västernorrlands,22,0,1809,-1810 Västernorrlands län
230507,230507000,Bodsjö ,Jämtlands,23,1810,9999,1810-05-07- Jämtlands län.
231307,231307000,Bodum ,Västernorrlands,22,1799,1973,-1973 Västernorrlands län
231307,231307000,Bodum ,Jämtlands,23,1974,9999,1974- Jämtlands län.
218303,218303000,Bollnäs ,Västernorrlands,22,0,1761,-1762 Västernorrlands län
218303,218303000,Bollnäs ,Gävleborgs,21,1762,9999,1762-06-29- Gävleborgs län.
78118,78118000,Bolmsö ,Jönköpings,6,0,1969,
78118,78118000,Bolmsö ,Jönköpings,7,1970,9999,
230303,230303000,Borgvattnet ,Västernorrlands,22,1781,1809,-1810 Västernorrlands län
230303,230303000,Borgvattnet ,Jämtlands,23,1810,9999,1810-05-07-1879 huvuddelen i Jämtlands län
176402,176402000,Borgvik ,Närkes,27,1716,1778,-1779 Närkes och Värmlands län
176402,176402000,Borgvik ,Värmlands,17,1779,9999,1779- Värmlands län.
38204,38204003,Börstil ,,1,0,1640,
38204,38204000,Börstil ,,1,1641,1970,
38204,38204000,Börstil ,,3,1971,9999,
178504,178504000,Botilsäter ,Närkes,27,0,1778,-1779 Närkes och Värmlands län
178504,178504000,Botilsäter ,Värmlands,17,1779,9999,1779- Värmlands län.
230501,230501000,Bräcke ,Västernorrlands,22,0,1809,-1810 Västernorrlands län
230501,230501000,Bräcke ,Jämtlands,23,1810,9999,1810-05-07- Jämtlands län.
178203,178203000,Brattfors ,Närkes,27,1661,1778,-1779 Närkes och Värmlands län
178203,178203000,Brattfors ,Värmlands,17,1779,9999,1779- Värmlands län.
13901,13901000,Bro ,Uppsala,3,0,1970,-1970 Uppsala län
13901,13901000,Bro ,Stockholms,1,1971,9999,1971- Stockholms län.
178503,178503000,Bro ,Närkes,27,0,1778,-1779 Närkes och Värmlands län
178503,178503000,Bro ,Värmlands,17,1779,9999,1779- Värmlands län.
238007,238007001,Brunflo ,Västernorrlands,22,0,1809,-1810 Västernorrlands län
238007,238007001,Brunflo ,Jämtlands,23,1810,1820,1810-05-07- Jämtlands län.
178411,178411001,Brunskog ,,27,0,1615,
178411,178411002,Brunskog ,,27,1616,1704,
178411,178411000,Brunskog ,,27,1705,1778,
178411,178411000,Brunskog ,,17,1779,9999,
173708,173708001,Dalby ,Närkes,27,0,1778,-1779 Närkes och Värmlands län
173708,173708001,Dalby ,Värmlands,17,1779,1830,1779- Värmlands län.
176403,176403000,Ed ,Närkes,27,0,1778,-1779 Närkes och Värmlands län
176403,176403000,Ed ,Värmlands,17,1779,9999,1779- Värmlands län.
173001,173001000,Eda ,Närkes,27,0,1778,-1779 Närkes och Värmlands län
173001,173001000,Eda ,Värmlands,17,1779,9999,1779- Värmlands län.
188023,188023000,Edsberg ,Närkes,27,0,1778,-1779 Närkes och Värmlands län
188023,188023000,Edsberg ,Örebro,18,1779,9999,1779- Örebro län.
188103,188103000,Ekeby ,Närkes,27,0,1778,-1779 Närkes och Värmlands län
188103,188103000,Ekeby ,Örebro,18,1779,9999,1779- Örebro län.
188000,188003004,Eker ,Närkes,27,0,1778,-1779 Närkes och Värmlands län
188000,188003004,Eker ,Örebro,18,1779,1953,1779-1953 Örebro län.
12503,12503000,Ekerö ,Stockholms,1,0,1785,-1786 Stockholms län
12503,12503000,Ekerö ,Svartsjö,26,1786,1809,1786-1810 Svartsjö län
12503,12503000,Ekerö ,Stockholms,1,1810,9999,1810- Stockholms län.
218407,218407000,Enånger ,Västernorrlands,22,0,1761,-1762 Västernorrlands län
218407,218407000,Enånger ,Gävleborgs,21,1762,9999,1762-06-29- Gävleborgs län.
18104,18104001,Ytterenhörna,,4,0,1947,
18104,18104002,Överenhörna,,4,0,1947,
18104,18104000,Enhörna ,Södermanlands,4,1948,1966,-1966 Södermanlands län
18104,18104000,Enhörna ,Stockholms,1,1967,9999,1967- Stockholms län.
188011,188011000,Ervalla ,Närkes,27,0,1778,-1779 Närkes och Värmlands län
188011,188011000,Ervalla ,Örebro,18,1779,9999,1779- Örebro län.
178507,178507000,Eskilsäter ,Närkes,27,0,1778,-1779 Närkes och Värmlands län
178507,178507000,Eskilsäter ,Värmlands,17,1779,9999,1779- Värmlands län.
12508,12508000,Färentuna ,Stockholms,1,0,1785,-1786 Stockholms län
12508,12508000,Färentuna ,Svartsjö,26,1786,1809,1786-1810 Svartsjö län
12508,12508000,Färentuna ,Stockholms,1,1810,9999,1810- Stockholms län.
131505,131505000,Färgaryd ,Jönköpings,6,0,1973,-1973 Jönköpings län
131505,131505000,Färgaryd ,Hallands,13,1974,9999,1974- Hallands län.
216104,216104001,Färila ,,22,0,1747,
216104,216104002,Färila ,,22,1748,1761,
216104,216104002,Färila ,,21,1762,1922,
38030,38030000,Faringe ,Stockholms,1,0,1970,-1970 Stockholms län
38030,38030000,Faringe ,Uppsala,3,1971,9999,1971- Uppsala län.
178200,178201001,Färnebo ,,27,0,1610,
178200,178201002,Färnebo ,,27,1611,1623,
178200,178201003,Färnebo ,,27,1624,1692,
178200,178201004,Färnebo ,,27,1693,1730,
178200,178201005,Färnebo ,,27,1731,1778,
178200,178201005,Färnebo ,,17,1779,1970,
188505,188505001,Fellingsbro ,Örebro,27,0,1778,1779-1890 Örebro län (och delvis Västmanlands län)
188505,188505001,Fellingsbro ,Örebro,18,1779,1921,1890-02-21 enligt KBr Västmanlandsfjärdingen överförd till Örebro län
131506,131506000,Femsjö ,Jönköpings,6,0,1973,
131506,131506000,Femsjö ,Kronobergs,13,1974,9999,
178201,178201006,Filipstad ,Närkes,27,1611,1778,-1779 Närkes och Värmlands län
178201,178201006,Filipstad ,Värmlands,17,1779,1970,1779- Värmlands län.
186002,186002000,Finnerödja ,Skaraborgs,16,1630,1966,-1966 Skaraborgs län
186002,186002000,Finnerödja ,Örebro,18,1967,9999,1967- Örebro län.
168649,168649000,Fivlered ,Älvsborgs,15,0,1973,-1973 Älvsborgs län
168649,168649000,Fivlered ,Skaraborgs,16,1974,9999,1974- Skaraborgs län.
231306,231306001,Fjällsjö ,,22,0,1771,
231306,231306002,Fjällsjö ,,22,1772,1798,
231306,231306000,Fjällsjö ,,22,1799,1973,
231306,231306000,Fjällsjö ,,23,1974,9999,
230906,230906001,Föllinge ,,22,0,1786,
230906,230906002,Föllinge ,,22,1787,1809,
230906,230906002,Föllinge ,,23,1810,1841,
230302,230302000,Fors ,,22,0,1809,
230302,230302000,Fors ,,23,1810,9999,
218411,218411000,Forsa ,,22,0,1761,
218411,218411000,Forsa ,,21,1762,9999,
38202,38202000,Forsmark ,,1,1612,1970,
38202,38202000,Forsmark ,,3,1971,9999,
238002,238002000,Frösö ,,22,0,1809,
238002,238002000,Frösö ,,23,1810,9999,
38132,38132000,Frösthult ,,19,0,1970,
38132,38132000,Frösthult ,,3,1971,9999,
171502,171502000,Frykerud ,,27,0,1778,
171502,171502000,Frykerud ,,17,1779,9999,
173701,173701001,Fryksände ,,27,0,1764,
173701,173701002,Fryksände ,,27,1765,1778,
173701,173701002,Fryksände ,,17,1779,1821,
188018,188018000,Gällersta ,,27,0,1778,
188018,188018000,Gällersta ,,18,1779,9999,
252371,252371001,Gällivare ,,24,1742,1809,
252371,252371001,Gällivare ,,25,1810,1961,
56107,56107000,Gärdserum ,,8,0,1970,
56107,56107000,Gärdserum ,,5,1971,9999,
178205,178205001,Gåsborn ,,27,1693,1776,
178205,178205000,Gåsborn ,,27,1777,1778,
178205,178205000,Gåsborn ,,17,1779,9999,
218001,218001001,Gävle Heliga Trefaldighet ,,22,0,1761,
218001,218001001,Gävle Heliga Trefaldighet ,,21,1762,1915,
188027,188027000,Glanshammar ,,27,0,1778,
188027,188027000,Glanshammar ,,18,1779,9999,
178405,178405000,Glava ,,27,0,1778,
178405,178405000,Glava ,,17,1779,9999,
128620,128620000,Glemminge ,,11,0,1970,
128620,128620000,Glemminge ,,12,1971,9999,
213204,213204000,Gnarp ,,22,0,1761,
213204,213204000,Gnarp ,,21,1762,9999,
198404,198404000,Götlunda ,,27,0,1778,
198404,198404000,Götlunda ,,18,1779,1973,
198404,198404000,Götlunda ,,19,1974,9999,
176604,176604000,Gräsmark ,,27,1751,1778,
176604,176604000,Gräsmark ,,17,1779,9999,
38208,38208000,Gräsö ,,1,1641,1970,
38208,38208000,Gräsö ,,3,1971,9999,
178008,178008001,Grava ,,27,0,1778,
178008,178008001,Grava ,,17,1779,1907,
188009,188009000,Gräve ,,27,0,1778,
188009,188009000,Gräve ,,18,1779,9999,
138322,138322000,Grimmared ,,15,0,1970,
138322,138322000,Grimmared ,,13,1971,9999,
138325,138325000,Gunnarsjö ,,15,0,1970,
138325,138325000,Gunnarsjö ,,13,1971,9999,
178407,178407001,Gunnarskog ,,27,0,1778,
178407,178407001,Gunnarskog ,,17,1779,1849,
13905,13905000,håbo-tibble ,,3,0,1970,
13905,13905000,håbo-tibble ,,1,1971,9999,
232602,232602000,hackås ,,22,0,1809,
232602,232602000,hackås ,,23,1810,9999,
188022,188022000,hackvad ,,27,0,1778,
188022,188022000,hackvad ,,18,1779,9999,
238010,238010000,häggenås ,,22,0,1809,
238010,238010000,häggenås ,,23,1810,9999,
88109,88109000,hälleberga ,,7,0,1968,
88109,88109000,hälleberga ,,8,1969,9999,
186301,186301000,hällefors ,,27,1644,1778,
186301,186301000,hällefors ,,18,1779,9999,
232106,232106000,hallen ,,22,0,1809,
232106,232106000,hallen ,,23,1810,9999,
168604,168604000,hällestad ,,15,0,1951,
168604,168604000,hällestad ,,16,1952,9999,
186101,186101000,hallsberg ,,27,0,1778,
186101,186101000,hallsberg ,,18,1779,9999,
218403,218403000,hälsingtuna ,,22,0,1761,
218403,218403000,hälsingtuna ,,21,1762,9999,
176101,176101000,hammarö ,,27,0,1778,
176101,176101000,hammarö ,,17,1779,9999,
231304,231304001,hammerdal ,,22,0,1780,
231304,231304002,hammerdal ,,22,1781,1786,
231304,231304003,hammerdal ,,22,1787,1809,
231304,231304003,hammerdal ,,23,1810,1892,
218003,218003000,hamrånge ,,22,0,1761,
218003,218003000,hamrånge ,,21,1762,9999,
218306,218306000,hanebo ,,22,0,1761,
218306,218306000,hanebo ,,21,1762,9999,
56106,56106000,hannäs ,,8,0,1970,
56106,56106000,hannäs ,,5,1971,9999,
38206,38206000,harg ,,1,0,1970,
38206,38206000,harg ,,3,1971,9999,
213202,213202000,harmånger ,,22,0,1761,
213202,213202000,harmånger ,,21,1762,9999,
38133,38133000,härnevi ,,19,0,1970,
38133,38133000,härnevi ,,3,1971,9999,
230504,230504000,håsjö ,,22,0,1809,
230504,230504000,håsjö ,,23,1810,9999,
213206,213206000,hassela ,,22,0,1761,
213206,213206000,hassela ,,21,1762,9999,
13906,13906000,håtuna ,,3,0,1970,
13906,13906000,håtuna ,,1,1971,9999,
236105,236105001,hede ,,22,0,1750,
236105,236105000,hede ,,22,1751,1761,
236105,236105000,hede ,,21,1762,1809,
236105,236105000,hede ,,23,1810,9999,
218004,218004000,hedesunda ,,22,0,1761,
218004,218004000,hedesunda ,,21,1762,9999,
188019,188019000,hidinge ,,27,0,1778,
188019,188019000,hidinge ,,18,1779,9999,
251803,251803000,hietaniemi ,,24,1617,1809,
