id,from,tom
1,0,1611
1,1612,1714
1,1715,1785
1,1786,1809
1,1810,1908
1,1909,1966
1,1967,1967
1,1968,1970
1,1971,9999
2,1715,1908
2,1909,1967
3,0,1611
3,1612,1942
3,1943,1970
3,1971,9999
4,0,1942
4,1943,1966
4,1967,1970
4,1971,9999
5,0,1970
5,1971,9999
6,0,1731
6,1732,1969
6,1970,1970
6,1971,1973
6,1974,9999
7,0,1968
7,1969,1969
7,1970,1970
7,1971,9999
8,0,1818
8,1819,1826
8,1827,1969
8,1969,1970
8,1971,9999
9,0,9999
10,0,9999
11,0,1889
11,1890,1890
11,1891,1951
11,1952,1968
11,1969,1970
11,1971,9999
12,0,1889
12,1890,1890
12,1891,1951
12,1952,1968
12,1969,1970
12,1971,9999
13,0,1970
13,1971,1973
13,1974,9999
14,0,1966
14,1967,1970
14,1971,9999
15,0,1951
15,1952,1966
15,1967,1970
15,1971,1973
15,1974,9999
16,0,1629
16,1630,1731
16,1732,1951
16,1952,1966
16,1967,1970
16,1971,1973
16,1974,9999
17,1779,1922,
17,1923,1951,
17,1952,1970,
17,1971,9999,
18,1779,1922,
18,1923,1951,
18,1952,1966,
18,1967,1973,
18,1974,9999,
19,0,1970,
19,1971,1973,
19,1974,9999,
20,0,9999,
21,1762,1809,
21,1810,1863,
21,1864,9999,
22,0,1761,
22,1762,1809,
22,1810,1973,
22,1974,9999,
23,1810,1863,
23,1864,1973,
23,1974,9999,
24,0,1809,
24,1810,1836,
24,1837,1868,
24,1869,9999,
25,1810,1836,
25,1837,1868,
25,1869,9999,
26,1786,1809,
27,0,1629,
27,1630,1778,
28,1819,1826,
