"g_type","g_type_name","start","end","n","units","eng_name"
"swe_fog","Fögderi",1600,1991,959,442,"Bailiwick"
"swe_harad","Härad / stad / skeppslag",1600,1988,423,297,"Hundred"
"swe_hov","Hovrätt",1600,1998,20,6,"Court of appeal"
"swe_kom","Kommun",1863,1998,3543,2933,"Municipal"
"swe_kon","Kontrakt",1600,1998,539,269,"Contract"
"swe_kyrk","Församling",1600,1998,3081,2714,"Parish"
"swe_lan","Län",1600,1998,80,29,"County"
"swe_rad","Domsaga / Rådhusrätt",1600,1970,521,371,"Magistrates court"
"swe_stift","Stift",1600,1998,37,13,"Diocese"
"swe_tingt","Tingsrätts domkrets",1971,1998,143,110,"District court"
