code,town,lon,lat,from,tom
1,Stockholm,18.071111,59.326667,1968,2000
2,Stockholm,18.071111,59.326667,1634,1967
3,Uppsala,17.65,59.858333,1634,2000
4,Nyköping,17.008611,58.752778,1683,2000
5,Linköping,15.621389,58.410833,1634,2000
6,Jönköping,14.160556,57.782778,1687,2000
7,Växjö,14.809167,56.878333,1674,2000
8,Kalmar,16.363056,56.663056,1634,2000
9,Visby,18.299167,57.634722,1678,2000
10,Karlskrona,15.586111,56.160833,1683,2000
11,Kristianstad,14.154722,56.031667,1718,1997
12,Malmö,13.0025,55.605833,1661,2000
13,Halmstad,12.85,56.666667,1719,2000
14,Göteborg,11.966389,57.706944,1701,2000
15,Vänersborg,12.316667,58.383333,1634,1998
16,Mariestad,13.816667,58.7,1634,1998
17,Karlstad,13.533333,59.383333,1779,2000
18,Örebro,15.213361,59.273944,1634,2000
19,Västerås,16.546389,59.609722,1634,2000
20,Falun,15.631111,60.607222,1634,2000
21,Gävle,17.166667,60.683333,1762,2000
22,Härnösand,17.933333,62.633333,1779,2000
23,Östersund,14.636389,63.178889,1810,2000
24,Umeå,20.263611,63.825556,1638,2000
25,Luleå,22.153889,65.584444,1856,2000
25,Piteå,21.5,65.316667,1810,1855
26,Drottningholm,17.886944,59.321667,1787,1809
27,Örebro slott,15.215278,59.273889,1654,1779
28,Borgholm,16.661667,56.878056,1819,1826
22,Hudiksvall,17.133333,61.733333,1644,1761
22,Sundsvall,17.306944,62.390833,1762,1778
